Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
455.200000	30.114067	13.844530
455.300000	30.097318	13.876700
455.400000	30.080599	13.910821
455.500000	30.063913	13.948146
455.600000	30.047261	13.997632
455.700000	30.030647	14.059792
455.800000	30.014072	14.116806
455.900000	29.997539	14.150754
456.000000	29.981028	14.075931
456.100000	29.964529	14.178759
456.200000	29.948042	14.254927
456.300000	29.931569	14.273359
456.400000	29.915110	14.286606
456.500000	29.898667	14.295950
456.600000	29.882240	14.302678
456.700000	29.865831	14.308074
456.800000	29.849440	14.313424
456.900000	29.833068	14.320012
457.000000	29.816716	14.329121
457.100000	29.800386	14.342038
457.200000	29.784077	14.361340
457.300000	29.767792	14.422938
457.400000	29.751530	14.516431
457.500000	29.735293	14.606258
457.600000	29.719083	14.656862
457.700000	29.702899	14.492818
457.800000	29.686742	14.649410
457.900000	29.670615	14.761509
458.000000	29.654517	14.790065
458.100000	29.638449	14.810308
458.200000	29.622413	14.825202
458.300000	29.606410	14.837712
458.400000	29.590440	14.850802
458.500000	29.574504	14.867262
458.600000	29.558604	14.886669
458.700000	29.542739	14.907874
458.800000	29.526912	14.930166
458.900000	29.511124	14.952839
459.000000	29.495374	14.975183
459.100000	29.479666	14.996490
459.200000	29.464000	15.016053
459.300000	29.448373	15.033160
459.400000	29.432786	15.047107
459.500000	29.417235	15.057182
459.600000	29.401720	15.062677
459.700000	29.386238	15.021119
459.800000	29.370790	14.964596
459.900000	29.355372	14.984212
460.000000	29.339985	15.019076
460.100000	29.324625	15.062864
460.200000	29.309292	15.109253
460.300000	29.293984	15.151920
460.400000	29.278700	15.188245
460.500000	29.263439	15.225029
460.600000	29.248197	15.258410
460.700000	29.232976	15.284930
460.800000	29.217772	15.307009
460.900000	29.202584	15.327496
461.000000	29.187411	15.349160
461.100000	29.172252	15.374399
461.200000	29.157104	15.400685
461.300000	29.141967	15.431434
461.400000	29.126838	15.473111
461.500000	29.111718	15.555408
461.600000	29.096603	15.584794
461.700000	29.081492	15.600681
461.800000	29.066385	15.611122
461.900000	29.051278	15.618346
462.000000	29.036172	15.624588
462.100000	29.021065	15.632076
462.200000	29.005955	15.643044
462.300000	28.990858	15.659720
462.400000	28.975842	15.699519
462.500000	28.960907	15.799864
462.600000	28.946046	15.870492
462.700000	28.931251	15.775865
462.800000	28.916516	15.793440
462.900000	28.901832	15.820487
463.000000	28.887193	15.853511
463.100000	28.872590	15.889020
463.200000	28.858017	15.923523
463.300000	28.843466	15.953526
463.400000	28.828930	15.975603
463.500000	28.814402	15.991600
463.600000	28.799873	16.004811
463.700000	28.785337	16.016544
463.800000	28.770786	16.028108
463.900000	28.756214	16.040811
464.000000	28.741611	16.055963
464.100000	28.726972	16.074879
464.200000	28.712288	16.105769
464.300000	28.697553	16.144377
464.400000	28.682759	16.175111
464.500000	28.667898	16.193671
464.600000	28.652964	16.207681
464.700000	28.637948	16.219132
464.800000	28.622844	16.230014
464.900000	28.607643	16.242317
465.000000	28.592340	16.258031
465.100000	28.576925	16.279420
465.200000	28.561393	16.326471
465.300000	28.545734	16.392418
465.400000	28.529944	16.451612
465.500000	28.514012	16.478408
465.600000	28.497932	16.436136
465.700000	28.481633	16.379826
465.800000	28.465087	16.389107
465.900000	28.448313	16.429374
466.000000	28.431328	16.485167
466.100000	28.414150	16.542634
466.200000	28.396799	16.588084
466.300000	28.379293	16.620003
466.400000	28.361649	16.655777
466.500000	28.343887	16.733032
466.600000	28.326023	16.792857
466.700000	28.308077	16.812221
466.800000	28.290068	16.825906
466.900000	28.272012	16.835538
467.000000	28.253929	16.842748
467.100000	28.235837	16.849159
467.200000	28.217753	16.856401
467.300000	28.199697	16.866100
467.400000	28.181687	16.879884
467.500000	28.163741	16.900510
467.600000	28.145877	16.928295
467.700000	28.128113	16.958860
467.800000	28.110468	16.987813
467.900000	28.092960	17.015107
468.000000	28.075608	17.042382
468.100000	28.058429	17.069881
468.200000	28.041442	17.098294
468.300000	28.024666	17.129360
468.400000	28.008117	17.159504
468.500000	27.991792	17.184317
468.600000	27.975555	17.202636
468.700000	27.959385	17.217822
468.800000	27.943280	17.230996
468.900000	27.927242	17.243262
469.000000	27.911269	17.255724
469.100000	27.895362	17.269484
469.200000	27.879520	17.285648
469.300000	27.863744	17.302963
469.400000	27.848033	17.320703
469.500000	27.832387	17.342073
469.600000	27.816805	17.370294
469.700000	27.801289	17.423080
469.800000	27.785837	17.491189
469.900000	27.770449	17.507540
470.000000	27.755126	17.518461
470.100000	27.739867	17.525270
470.200000	27.724672	17.529282
470.300000	27.709541	17.531812
470.400000	27.694474	17.534176
470.500000	27.679470	17.537688
